Nom du cours,Classification,Terme,Explication
La naissance du conflit israélo-palestinien,Concept,Le sionisme,"Mouvement politique fondé par Theodor Herzl (L'État juif, 1896) prônant la création d'un foyer national juif en réponse à l'antisémitisme européen. Il proposa d'abord l'Argentine ou l'Ouganda avant de se fixer sur la Palestine historique."
La naissance du conflit israélo-palestinien,Événement connexe,La Déclaration Balfour (1917),"Lettre du ministre britannique Balfour promettant le soutien britannique à «l'établissement d'un foyer national pour le peuple juif» en Palestine, tout en préservant les droits des «communautés non juives». Cette tension fondatrice n'a jamais été résolue."
La rivalité Chine–États-Unis,Concept,La guerre commerciale et les droits de douane,"À partir de 2018, les États-Unis (Trump) imposèrent des tarifs douaniers massifs sur les produits chinois, que la Chine répondit en nature. Cette guerre commerciale traduit une rivalité technologique et géopolitique plus profonde que les seuls échanges."
La rivalité Chine–États-Unis,Concept,Le «découplage» technologique,Stratégie américaine visant à séparer les chaînes d'approvisionnement technologiques entre les deux pays. Les sanctions sur Huawei et l'interdiction de ventes de semi-conducteurs avancés à la Chine reflètent la crainte d'une utilisation militaire des technologies américaines.
Les tensions autour de Taïwan,Concept,TSMC (Taiwan Semiconductor Manufacturing Company),Fabricant taïwanais produisant environ 92% des puces les plus avancées du monde. Cette dépendance mondiale explique pourquoi une invasion chinoise provoquerait une catastrophe économique mondiale - la «silicon shield» de Taïwan.
Les tensions autour de Taïwan,Concept,L'ambiguïté stratégique américaine,"Politique américaine qui reconnaît «une seule Chine» sans reconnaître la souveraineté de Pékin sur Taïwan, et vend des armes sans promettre explicitement une défense militaire. Cette ambiguïté délibérée est censée dissuader l'invasion tout en évitant de provoquer Pékin."
Le concept de monde «multipolaire»,Concept,Les BRICS,"Acronyme désignant Brésil, Russie, Inde, Chine, Afrique du Sud, élargi à plusieurs pays depuis 2024. Ce groupement incarne la multipolarité : des puissances qui refusent l'ordre libéral occidental sans former pour autant un bloc cohérent alternatif."
Le pétrole comme source de conflits,Concept,La «malédiction des ressources»,"Paradoxe économique : les pays riches en ressources naturelles (pétrole, diamants) connaissent souvent une croissance plus faible et des conflits plus fréquents. La «rente» pétrolière crée des États prédateurs et décourage la diversification économique."
Le pétrole comme source de conflits,Concept,Le pic pétrolier (peak oil),"Théorie de Hubbert (1956) prédisant que la production mondiale de pétrole atteindrait un sommet puis déclinerait. La révolution du pétrole de schiste américain a repoussé cette limite, mais le débat sur l'épuisement des ressources reste central."
Le Canal de Suez : pourquoi il est stratégique,Concept,La crise de Suez (1956),"Quand Nasser nationalisa le canal, la France, la Grande-Bretagne et Israël envahirent l'Égypte. Sous pression américaine (Eisenhower menaça d'effondrer la livre sterling), ils durent se retirer - marquant la fin de la puissance coloniale franco-britannique."
Le Canal de Suez : pourquoi il est stratégique,Événement connexe,L'Ever Given (mars 2021),"Porte-conteneurs de 400 m qui s'échoua en travers du canal pendant 6 jours, bloquant 400 navires. Il coûta 400 millions de dollars par heure à l'économie mondiale, illustrant parfaitement l'importance stratégique du canal dans les chaînes mondiales."
L'OTAN : à quoi ça sert encore ?,Concept,L'article 5 du traité de l'Atlantique Nord,"Clause de défense collective : une attaque contre un membre est une attaque contre tous. Invoqué une seule fois dans l'histoire de l'OTAN - le 12 septembre 2001, après le 11 septembre. Sa portée exacte reste délibérément ambiguë."
L'OTAN : à quoi ça sert encore ?,Concept,L'élargissement de l'OTAN vers l'Est,"Depuis 1991, l'OTAN a accueilli 14 nouveaux membres dont d'anciennes républiques soviétiques. La Russie considère cet élargissement comme une menace existentielle - argument utilisé pour justifier l'invasion de l'Ukraine en 2022."
L'ONU : puissante ou impuissante ?,Concept,La Responsabilité de protéger (R2P),"Principe adopté par l'ONU en 2005 : la communauté internationale peut intervenir dans un État souverain pour protéger des civils en danger. Développé dans les années 1990 après l'inaction au Rwanda et en Bosnie, son application reste très sélective."
L'ONU : puissante ou impuissante ?,Lieu / institution,Les agences spécialisées de l'ONU,"L'ONU comprend des agences aux mandats précis : OMS (santé mondiale), UNICEF (enfants), FAO (alimentation), UNESCO (culture), UNHCR (réfugiés). Ces agences obtiennent souvent des résultats concrets là où le Conseil de sécurité est bloqué par le veto."
La Russie de Poutine,Concept,Le KGB et le FSB,"Le KGB soviétique fut dissous en 1991 et remplacé par le FSB (intérieur) et le SVR (étranger). Poutine, ex-officier du KGB à Dresde, a largement promu des ex-membres du KGB (les «siloviki») à des postes clés du pouvoir russe."
La Russie de Poutine,Concept,La «démocratie souveraine»,"Concept développé par l'idéologue Vladislav Surkov : la Russie a sa propre forme de démocratie adaptée à son histoire, non soumise aux standards libéraux occidentaux. Critique : ce concept justifie en fait l'autoritarisme en le rebaptisant «souveraineté culturelle»."
La guerre en Ukraine expliquée,Concept,Le mémorandum de Budapest (1994),"Accord par lequel l'Ukraine renonça aux 1 900 ogives nucléaires soviétiques héritées, en échange de garanties de sécurité de la Russie, des États-Unis et du Royaume-Uni. La Russie l'a violé dès 2014, ce qui hante les discussions ukrainiennes sur la sécurité."
La guerre en Ukraine expliquée,Concept,Le Donbass et les républiques séparatistes,Région industrielle de l'est de l'Ukraine où des séparatistes pro-russes proclamèrent des «républiques» avec le soutien militaire russe en 2014. Ce conflit de «basse intensité» (14 000 morts) précéda l'invasion totale du 24 février 2022.
Comment fonctionne le prix du pétrole ?,Concept,Le marché à terme (futures) du pétrole,"Contrats par lesquels acheteurs et vendeurs s'engagent à une transaction future à un prix fixé aujourd'hui. Les spéculateurs sans intention de livraison physique représentent la grande majorité des transactions, amplifiant les fluctuations de prix."
Comment fonctionne le prix du pétrole ?,Évènement,La révolution du pétrole de schiste américain,"Essor massif de la production américaine au XXIe siècle grâce à la fracturation hydraulique, modifiant l'équilibre géopolitique mondial de l'énergie."
Les paradis fiscaux expliqués,Concept,Le secret bancaire suisse,"La Suisse maintint pendant des décennies un secret bancaire absolu protégeant pénalement les banquiers qui refusaient de divulguer l'identité de leurs clients. Ce secret, érodé depuis 2010 sous pression internationale, avait fait de la Suisse le premier paradis fiscal mondial."
Les paradis fiscaux expliqués,Concept,Les prix de transfert,"Mécanisme d'optimisation fiscale : une filiale dans un pays normal «achète» des services à une filiale dans un paradis fiscal, à des prix surévalués. Les bénéfices se transfèrent ainsi vers la juridiction à faible imposition, réduisant la facture fiscale globale."
L'évasion fiscale des multinationales,Concept,Le «double irlandais» (Dutch Sandwich),"Structure fiscale utilisant des filiales irlandaises et néerlandaises pour transférer les droits de propriété intellectuelle vers les Bermudes. Apple, Google et Facebook l'utilisèrent jusqu'à son élimination progressive (2020), payant des taux effectifs de moins de 2%."
L'évasion fiscale des multinationales,Concept,"L'impôt minimum mondial de 15% (OCDE, 2021)","Accord signé par 136 pays pour imposer un taux minimum de 15% sur les bénéfices des multinationales, quel que soit leur pays de déclaration. Premier accord fiscal international majeur de l'histoire, il vise à mettre fin à la «course vers le bas» fiscale."
La crise de l'État-Providence,Concept,Le rapport Beveridge (1942),"Document de l'économiste britannique Beveridge posant les fondations de l'État-Providence : protection universelle contre les «cinq géants» (pauvreté, maladie, ignorance, insalubrité, oisiveté). Il inspira la création du NHS et les systèmes sociaux d'après-guerre."
La crise de l'État-Providence,Concept,La retraite par répartition vs capitalisation,"Par répartition : les actifs financent les retraités actuels. Avec le vieillissement, moins d'actifs financent plus de retraités. Par capitalisation : épargne individuelle soumise aux aléas des marchés. Le débat sur la «bonne» réforme est universel dans les pays développés."
Les inégalités Nord-Sud,Concept,La «courbe de l'éléphant» (Milanovic),"Graphique montrant que la mondialisation a profité aux classes moyennes asiatiques et aux très riches, au détriment des classes populaires occidentales."
La dette mondiale,Concept,La théorie keynésienne de la dette,"Pour Keynes (1936), l'État doit emprunter pour dépenser lors des récessions. La dette publique est un outil de gestion économique, pas un problème moral. Cette théorie justifie les plans de relance comme le New Deal ou les stimulus post-COVID."
La dette mondiale,Concept,La Théorie Monétaire Moderne (MMT),"Approche affirmant qu'un État qui emprunte dans sa propre monnaie (États-Unis, Japon) ne peut techniquement pas faire faillite - il peut toujours créer de la monnaie. Le seul risque est l'inflation. Elle justifie des déficits importants tant que l'inflation reste maîtrisée."
"L'économie de plateforme (Uber, Airbnb...)",Concept,L'effet de réseau,"Une plateforme devient plus précieuse à mesure que le nombre d'utilisateurs augmente. Facebook, Uber, Amazon : plus il y a d'utilisateurs, meilleur est le service, ce qui attire encore plus d'utilisateurs - créant des monopoles naturels quasi infranchissables."
"L'économie de plateforme (Uber, Airbnb...)",Concept,La gig economy et l'uberisation,"Économie du «travail à la tâche» où des individus proposent leurs services via des plateformes sans contrat permanent. Elle fragilise les protections sociales traditionnelles (retraite, chômage) tout en offrant une flexibilité pour les travailleurs."
Le rôle des données (le «pétrole du XXIe siècle»),Concept,Le RGPD européen (2018),"Règlement Général sur la Protection des Données - la loi la plus ambitieuse de protection des données personnelles. Il donne aux citoyens européens le droit d'accéder à leurs données, de les corriger et de les supprimer. Les entreprises mondiales sont soumises à ses règles."
Le rôle des données (le «pétrole du XXIe siècle»),Concept,Le capitalisme de surveillance (Zuboff),Modèle économique où les entreprises utilisent les données personnelles pour prédire et influencer nos comportements à des fins commerciales.
La fracture numérique mondiale,Concept,Le M-Pesa kenyan,"Service de paiement mobile (2007) permettant d'envoyer de l'argent par SMS sans compte bancaire. Devenu le système de paiement dominant au Kenya et dans plusieurs pays africains, il montre que les pays en développement peuvent «sauter» certaines étapes technologiques."
La fracture numérique mondiale,Concept,Starlink (SpaceX),Constellation de satellites offrant Internet à haut débit dans des zones sans infrastructure terrestre. Peut transformer l'accès à Internet dans les zones rurales des pays en développement mais reste coûteux. Utilisé aussi par l'Ukraine dans sa guerre contre la Russie.
La désinformation et les fake news,Concept,Les bulles de filtre (filter bubbles),"Les algorithmes des réseaux sociaux personnalisent les contenus selon les goûts passés, créant des «bulles» où chaque utilisateur ne voit que ce qui confirme ses croyances. Cela polarise les débats et favorise la désinformation à grande échelle."
La désinformation et les fake news,Concept,L'Internet Research Agency (IRA) russe,"Usine à trolls de Saint-Pétersbourg financée par Prigojine, employant des centaines de personnes pour créer des faux comptes et manipuler l'opinion publique américaine et européenne. Mise en lumière lors de l'enquête Mueller sur l'élection de 2016."
Le trou de la couche d'ozone (et sa guérison),Concept,Les chlorofluorocarbures (CFC),"Composés chimiques synthétiques inventés dans les années 1920, utilisés comme réfrigérants et propulseurs d'aérosols. Chimiquement stables, ils montent dans la stratosphère où ils détruisent l'ozone - un effet ignoré pendant des décennies après leur invention."
Le trou de la couche d'ozone (et sa guérison),Événement connexe,Le Protocole de Montréal (1987),"Traité international interdisant progressivement les CFC, ratifié par 197 pays - le seul traité de l'histoire ratifié par tous les États membres de l'ONU. Considéré comme le plus grand succès de la diplomatie environnementale."
La crise de la biodiversité,Concept,Les services écosystémiques,"Bénéfices que les écosystèmes fournissent gratuitement : pollinisation, purification de l'eau, régulation du climat, prévention des inondations. La Dasgupta Review (2021) les estime à 125 000 milliards de dollars par an - bien plus que le PIB mondial."
La crise de la biodiversité,Concept,Les points de bascule écologiques,"Seuils dans les systèmes naturels au-delà desquels des changements rapides et irréversibles se produisent : fonte des glaces arctiques, mort des récifs coraliens, dépérissement des forêts. Passé ces points, le retour à l'état antérieur devient impossible."
L'économie circulaire,Concept,"La règle des 3R (Réduire, Réutiliser, Recycler)","Hiérarchie de gestion des déchets dans l'ordre de priorité. Réduire d'abord la consommation, puis réutiliser les produits existants, puis recycler en dernier recours. L'ordre est crucial : le recyclage consomme beaucoup d'énergie et ne résout pas la surconsommation."
L'économie circulaire,Concept,L'obsolescence programmée,"Stratégie industrielle consistant à concevoir des produits destinés à être remplacés rapidement. Apple, Samsung et de nombreux fabricants électroniques sont accusés de cette pratique - pièces non remplaçables, batteries inamovibles, mises à jour forçant l'achat de nouveaux appareils."
Pourquoi les abeilles sont-elles vitales ?,Concept,Le colony collapse disorder,"Phénomène documenté depuis 2006 : des ruches entières disparaissent sans explication, les abeilles quittant la ruche et ne revenant pas. Les causes sont multifactorielles : pesticides néonicotinoïdes, Varroa destructor, perte d'habitat, pathogènes combinés."
Pourquoi les abeilles sont-elles vitales ?,Concept,Les néonicotinoïdes,"Pesticides absorbés par toute la plante, y compris le nectar et le pollen, paralysant le système nerveux des insectes. Interdits pour certaines cultures en Europe depuis 2018, malgré la résistance de l'agro-industrie, ils restent autorisés dans de nombreux pays."
La montée des eaux,Concept,La banquise arctique et l'effet d'albédo,"Glace flottante dont la fonte ne fait pas monter les eaux, mais dont la disparition réduit la réflexion solaire (albédo), accélérant le réchauffement."
La montée des eaux,Concept,Les surcotes et les inondations centennales,Les tempêtes combinées à la montée des eaux créent des «surcotes» temporaires bien supérieures au niveau moyen. Une montée des eaux de 50 cm peut multiplier par 10 la fréquence d'inondations qu'on qualifiait de «centennales» - des événements rares deviennent courants.
L'IA et l'emploi,Concept,Les Luddites (1811-1816),"Ouvriers tisserands anglais qui détruisaient les machines à tisser mécaniques. Souvent caricaturés comme anti-progrès, ils protestaient en réalité contre la dégradation de leurs conditions de travail et salaires causée par la mécanisation sans protections sociales."
L'IA et l'emploi,Concept,Le revenu universel de base (RUB),"Versement régulier d'une somme fixe à tous les citoyens, sans condition. Vu comme réponse à l'automatisation. Des expériences en Finlande, au Kenya et en Californie donnent des résultats encourageants mais leur généralisation reste très débattue économiquement."
Le populisme : pourquoi ça monte partout ?,Concept,Le clivage culturel (valeurs) vs économique (classes),Inglehart et Norris montrent que le populisme est autant culturel qu'économique : les «perdants» de la mondialisation et de la révolution culturelle se retrouvent dans des partis qui défendent leurs valeurs traditionnelles contre une élite cosmopolite perçue comme méprisante.
Le populisme : pourquoi ça monte partout ?,Concept,Les démocraties illibérales (Orbán),"Concept revendiqué par le Premier ministre hongrois Viktor Orbán (2014) : un régime démocratiquement élu mais restreignant les contre-pouvoirs (presse, justice, ONG). Ce modèle, pratiqué aussi par Erdogan et Modi, remet en question la notion de démocratie libérale."
La santé mentale comme enjeu de société,Concept,Le burn-out (épuisement professionnel),"Syndrome d'épuisement chronique causé par le surmenage, reconnu par l'OMS depuis 2019 comme phénomène professionnel. Il se caractérise par l'épuisement émotionnel, la dépersonnalisation et la réduction du sentiment d'accomplissement."
La santé mentale comme enjeu de société,Concept,L'hypothèse smartphones et santé mentale (Haidt),Le psychologue Jonathan Haidt argumente que l'adoption massive des smartphones par les adolescents à partir de 2012 est la cause principale de l'épidémie de dépression et d'anxiété chez les jeunes. Le débat scientifique reste vif.
L'UE : comment ça marche vraiment ?,Concept,La Commission européenne et le monopole d'initiative législative,"Seule la Commission (non élue, nommée par les gouvernements) peut proposer des lois européennes. Le Parlement élu peut amender ou rejeter, mais pas proposer lui-même de législation. Ce déficit démocratique est l'une des critiques structurelles majeures de l'UE."
L'UE : comment ça marche vraiment ?,Concept,L'unanimité au Conseil de l'UE,"Dans de nombreux domaines (fiscalité, politique étrangère), les décisions requièrent l'unanimité des 27 États membres. Un seul État peut bloquer - ce qui rend l'UE difficile à gouverner dans les crises et explique ses lenteurs décisionnelles souvent critiquées."
La liberté de la presse dans le monde,Lieu / institution,Reporters Sans Frontières (RSF),ONG fondée en 1985 qui publie chaque année le Classement mondial de la liberté de la presse évaluant 180 pays. Son indice 2024 place la Norvège en tête et la Corée du Nord et l'Érythrée en queue.
La liberté de la presse dans le monde,Concept,La concentration médiatique et l'indépendance éditoriale,"Dans de nombreuses démocraties, des milliardaires (Murdoch, Bolloré) ont racheté des médias, soulevant des questions sur leur indépendance. En France en 2024, la grande majorité de la presse est détenue par une douzaine de milliardaires."
Les migrations climatiques,Concept,Le vide juridique du «réfugié climatique»,La Convention de Genève ne reconnaît pas les déplacements climatiques comme motif d'asile. Les personnes fuyant la montée des eaux n'ont aucune protection juridique internationale - l'un des chantiers les plus urgents du droit international actuel.
Les migrations climatiques,Événement connexe,Les Maldives et les nations en danger d'extinction,"Les îles Maldives, à 1,5 m d'altitude maximale, menacées de disparition dans ce siècle. Le gouvernement maldivien a acheté des terres en Australie comme plan B de relocalisation nationale - cas unique et tragique dans l'histoire des États."
La blockchain et les cryptomonnaies,Concept,La preuve de travail (Proof of Work),Mécanisme par lequel les mineurs de Bitcoin résolvent des calculs complexes pour valider les transactions. Ce processus consomme autant d'électricité que certains pays et est critiqué pour son empreinte environnementale colossale.
La blockchain et les cryptomonnaies,Personnage,Satoshi Nakamoto,"Pseudonyme de l'inventeur (ou groupe d'inventeurs) du Bitcoin, ayant publié le livre blanc fondateur en 2008 et disparu en 2010. Son identité reste inconnue."
Le droit d'asile expliqué,Concept,La Convention de Genève (1951),"Traité fondateur du droit des réfugiés, signé après les déplacements de la Seconde Guerre mondiale. Elle définit le réfugié et établit le principe de non-refoulement - interdiction d'expulser quelqu'un vers un pays où sa vie est menacée."
Le droit d'asile expliqué,Concept,Le principe de non-refoulement,"Principe cardinal du droit des réfugiés : aucun État ne peut renvoyer une personne vers un territoire où sa vie ou sa liberté serait menacée. Reconnu comme norme impérative du droit international, il s'impose même aux États n'ayant pas ratifié la Convention de Genève."
La sécurité alimentaire mondiale,Lieu / institution,La FAO (Organisation pour l'alimentation et l'agriculture),"Agence de l'ONU fondée en 1945 dont le mandat est d'éradiquer la faim et d'assurer la sécurité alimentaire mondiale. Elle collecte les statistiques agricoles, coordonne l'aide alimentaire d'urgence et promeut des pratiques agricoles durables."
La sécurité alimentaire mondiale,Concept,La révolution verte,"Innovations agricoles des années 1960-70 (nouvelles variétés à haut rendement, engrais chimiques, irrigation) qui multiplièrent la production alimentaire mondiale. Norman Borlaug reçut le Nobel de la paix 1970 - la révolution verte sauva des centaines de millions de vies."
L'eau : prochaine source de conflits ?,Concept,Le stress hydrique,Situation où la demande en eau dépasse les ressources disponibles ou lorsque la qualité de l'eau en limite l'usage. On parle de pénurie sévère sous le seuil de 1 000 m³ par habitant/an.
L'eau : prochaine source de conflits ?,Événement connexe,Le Grand Barrage de la Renaissance éthiopien (GERD),"Barrage construit par l'Éthiopie sur le Nil Bleu depuis 2011, qui réduira le débit vers l'Égypte et le Soudan. L'Égypte a menacé d'entrer en guerre si la construction se poursuivait - illustration des tensions croissantes sur les ressources hydriques transfrontalières."
Le soft power américain,Concept,L'hégémonie culturelle (Gramsci),Concept du théoricien Antonio Gramsci : une classe dominante maintient son pouvoir en faisant accepter ses valeurs comme naturelles et universelles. Joseph Nye adapta cette idée aux relations internationales avec le concept de soft power.
Le soft power américain,Concept,L'«effet Bruxelles»,"Les normes réglementaires européennes (RGPD, normes alimentaires, environnementales) sont adoptées mondialement par les multinationales souhaitant accéder au marché de 450 millions de consommateurs. L'UE exerce ainsi un soft power réglementaire considérable."
Les GAFAM : puissance et dérives,Concept,Les effets de réseau et les monopoles naturels,Les plateformes numériques tendent vers des monopoles naturels : chaque nouvel utilisateur renforce la valeur pour tous les autres. Concurrencer Facebook ou Amazon devient quasi-impossible car leur avantage de réseau est infranchissable pour un concurrent débutant.
Les GAFAM : puissance et dérives,Concept,Le Digital Markets Act (DMA) européen (2022),Loi européenne visant à réguler les «gardiens» des marchés numériques. Elle oblige à l'interopérabilité et interdit le favoritisme de ses propres services. C'est la régulation des GAFAM la plus ambitieuse au monde.
La transition énergétique,Concept,L'Accord de Paris (2015) et les objectifs climatiques,"Traité signé par 196 pays pour limiter le réchauffement à 1,5°C au-dessus des niveaux préindustriels. Chaque pays fixe ses propres objectifs (NDC) - les ambitions actuelles mènent à environ 2,5°C de réchauffement selon les projections actuelles."
La transition énergétique,Concept,L'hydrogène vert,"Hydrogène produit par électrolyse de l'eau alimentée par des énergies renouvelables. Il permet de stocker l'énergie et de décarboner des secteurs difficiles à électrifier (acier, ciment, aviation). Coûteux aujourd'hui, il est vu comme clé pour la neutralité carbone 2050."
Le futur du travail,Concept,La destruction créatrice (Schumpeter),"Chaque innovation détruit des emplois obsolètes et en crée de nouveaux. L'histoire semble donner raison à Schumpeter (du paysan au chauffeur). La question est de savoir si l'IA, qui touche aussi les emplois qualifiés, reproduira ce schéma ou le brisera définitivement."
Le futur du travail,Concept,La semaine de 4 jours (32 heures),"Réduction de la semaine de travail avec maintien du salaire. Des expériences en Islande, au Japon, en Espagne et en Grande-Bretagne montrent des résultats positifs : productivité maintenue ou améliorée, bien-être accru, absentéisme réduit."
La Chine et son modèle économique,Concept,Le Parti communiste chinois (PCC),"Parti unique qui dirige la Chine depuis 1949. Il contrôle l'État, l'armée et supervise l'économie."
La Chine et son modèle économique,Concept,Le «capitalisme d'État» chinois,"Système où l'État utilise les outils du marché (entreprises, banques) pour atteindre des objectifs politiques fixés par le Parti."
La naissance de l'islam (622),Autre,Bédouins,"Nomades arabes vivant dans le désert, organisés en tribus soudées par des liens de parenté."
La naissance de l'islam (622),Autre,razzias,Attaques rapides menées par des tribus contre des caravanes ou des camps ennemis pour s'emparer de bétail ou de marchandises.
La naissance de l'islam (622),Concept,Dhimma,Statut juridique de 'protégé' accordé aux non-musulmans monothéistes vivant sous autorité islamique.
La naissance de l'islam (622),Autre,jizya,Impôt annuel payé par les populations non-musulmanes (soumises à la Dhimma) en échange de la protection de l'État.
La naissance de l'islam (622),Institution,Constitution de Médine,"Édit émis par Muhammad peu après l'Hégire, régissant les relations entre les monothéistes (musulmans et juifs) et les clans de l'oasis de Médine."
L'appel d'Urbain II et la 1re Croisade (1095),Évènement,Bataille de Mantzikert,"Défaite majeure de l'Empire byzantin face aux Turcs Seldjoukides en 1071, provoquant la perte de l'Anatolie et le déclin militaire de Byzance."
L'appel d'Urbain II et la 1re Croisade (1095),Concept,Paix de Dieu,Mouvement spirituel et social initié par l'Église aux Xe et XIe siècles pour limiter la violence féodale et protéger les non-combattants.
L'appel d'Urbain II et la 1re Croisade (1095),Évènement,Concile de Clermont,Assemblée ecclésiastique de 1095 durant laquelle Urbain II lanca son appel à la croisade.
L'appel d'Urbain II et la 1re Croisade (1095),Personnage,Pierre l'Ermite,"Prédicateur populaire qui mena la 'Croisade des pauvres', vague désorganisée précédant celle des barons."
L'appel d'Urbain II et la 1re Croisade (1095),Personnage,Bohémond de Tarente,"Prince normand d'Italie du Sud et l'un des principaux chefs militaires de la première croisade, fondateur de la principauté d'Antioche."
L'appel d'Urbain II et la 1re Croisade (1095),Autre,Avoué du Saint-Sépulcre,"Titre porté par Godefroy de Bouillon, refusant le titre de roi de Jérusalem par humilité religieuse."
L'appel d'Urbain II et la 1re Croisade (1095),Institution,Templiers,"Ordre religieux et militaire fondé en 1119 pour protéger les pèlerins en Terre sainte, devenu une puissance financière majeure."
L'appel d'Urbain II et la 1re Croisade (1095),Personnage,Saladin,Sultan d'origine kurde qui unifia le monde musulman et reprit Jérusalem aux croisés en 1187.
La prise de Rome par les Wisigoths (410),Concept,arienne,"Courant du christianisme primitif, jugé hérétique par le concile de Nicée, qui considérait que le Christ n'était pas l'égal de Dieu le Père."
La prise de Rome par les Wisigoths (410),Personnage,Saint Jérôme,"Père de l'Église et traducteur de la Bible en latin (la Vulgate), témoin du choc psychologique suscité par la chute de Rome."
La prise de Rome par les Wisigoths (410),Référence historique,Vandales,Peuple germanique qui s'empara de l'Afrique du Nord romaine et pilla Rome à son tour en 455 de manière bien plus dévastatrice qu'Alaric.
La prise de Rome par les Wisigoths (410),Référence historique,Francs,"Fédération de peuples germaniques installée sur le bas-Rhin, qui finit par conquérir la Gaule sous Clovis après l'effondrement de l'Empire."
La prise de Rome par les Wisigoths (410),Référence historique,Hérule,"Peuple germanique dont est issu Odoacre, le chef militaire qui déposa le dernier empereur d'Occident."
Le couronnement de Charlemagne (800),Mouvement,Lombard,"Peuple germanique établi en Italie du Nord à partir du VIe siècle, dont le royaume fut conquis par Charlemagne en 774."
Le couronnement de Charlemagne (800),Mouvement,Avars,"Peuple cavalier nomade originaire d'Asie centrale, installé dans la plaine du Danube, dont l'empire fut détruit par les armées carolingiennes."
Le couronnement de Charlemagne (800),Lieu,Roncevaux,"Col des Pyrénées où l'arrière-garde de l'armée de Charlemagne fut massacrée en 778 par les Vascons, évènement qui inspira la célèbre 'Chanson de Roland'."
Le couronnement de Charlemagne (800),Institution,Comtes,"Hauts dignitaires locaux nommés par le souverain pour administrer une province (le comté) en son nom, disposant de pouvoirs militaires et judiciaires."
Le couronnement de Charlemagne (800),Autre,Denier d'argent,"Monnaie de référence imposée par la réforme monétaire de Charlemagne, remplaçant l'or par l'argent comme base du système économique européen pour plusieurs siècles."
La Magna Carta (1215),Personnage,Philippe II Auguste,Roi de France (1180-1223) qui a démantelé l'empire Plantagenêt en reprenant la Normandie et le Maine à Jean sans Terre.
La Magna Carta (1215),Évènement,Bouvines,"Bataille décisive de 1214 où Philippe II Auguste bat une coalition incluant l'Angleterre, scellant le destin de Jean sans Terre."
La Magna Carta (1215),Œuvre,Bill of Rights,"Ensemble des dix premiers amendements à la Constitution des États-Unis, garantissant les libertés individuelles et limitant le pouvoir fédéral."
La Magna Carta (1215),Personnage,Eleanor Roosevelt,Première dame des États-Unis et figure clé de la rédaction de la Déclaration universelle des droits de l'homme de 1948.
La Peste noire en Europe (1347-1353),Concept,Pax Mongolica,"Période de relative stabilité politique et économique en Eurasie sous l'Empire mongol au XIIIe et XIVe siècles, ayant involontairement facilité la circulation de la peste."
La Peste noire en Europe (1347-1353),Lieu,Route de la Soie,"Réseau de routes commerciales reliant l'Asie à l'Europe, principal vecteur de propagation de la peste depuis l'Orient jusqu'aux comptoirs de la mer Noire."
La Peste noire en Europe (1347-1353),Lieu,Caffa,Comptoir commercial génois en Crimée (actuelle Féodossia). Le siège de la ville par les Mongols en 1346 est considéré comme la porte d'entrée de la peste en Méditerranée.
La Peste noire en Europe (1347-1353),Personnage,Galien,"Médecin grec de l'Antiquité dont les théories (notamment celle des humeurs) dominaient la médecine médiévale, empêchant la compréhension de l'origine bactérienne de la peste."
La Peste noire en Europe (1347-1353),Autre,Xenopsylla cheopis,"Nom scientifique de la puce du rat, véritable vecteur de transmission de la bactérie Yersinia pestis de l'animal à l'homme."
La Peste noire en Europe (1347-1353),Mouvement,Flagellants,"Mouvement religieux fanatique dont les membres se flagellaient publiquement en signe de pénitence pour obtenir la fin de l'épidémie, considérée comme un châtiment divin."
La Peste noire en Europe (1347-1353),Personnage,Clément VI,Pape siégeant à Avignon durant la Peste noire. Il se distingua en protégeant les Juifs des pogroms et en commandant des rapports médicaux sur le fléau.
La Peste noire en Europe (1347-1353),Personnage,Boccace,"Écrivain italien témoin de la peste à Florence. Son chef-d'œuvre, le Décaméron, décrit avec précision l'impact social et psychologique de l'épidémie sur ses contemporains."
Jeanne d'Arc et la Guerre de Cent Ans (1429),Concept,Providentialisme,Croyance selon laquelle Dieu intervient directement dans l'histoire humaine et les affaires politiques pour accomplir sa volonté.
Jeanne d'Arc et la Guerre de Cent Ans (1429),Personnage,Pierre Cauchon,"Évêque de Beauvais et partisan des Anglais, il fut l'architecte du procès condamnant Jeanne d'Arc à Rouen."
Jeanne d'Arc et la Guerre de Cent Ans (1429),Évènement,Castillon,Bataille décisive de 1453 qui marque la fin effective de la Guerre de Cent Ans et l'expulsion quasi totale des Anglais du royaume de France.
La chute de Constantinople (1453),Personnage,Constantin XI Paléologue,"Dernier empereur byzantin (1449-1453), il mourut au combat lors de l'assaut final de Constantinople."
La chute de Constantinople (1453),Institution,Janissaires,"Corps d'élite de l'infanterie ottomane, composé à l'origine de prisonniers chrétiens convertis, réputés pour leur discipline et leur loyauté au sultan."
La chute de Constantinople (1453),Lieu,Istanbul,"Nom porté par Constantinople après la conquête ottomane, bien que le nom officiel ne soit devenu Istanbul qu'au XXe siècle."
L'empire aztèque,Lieu,Aztlán,"Lieu d'origine mythique des peuples aztèques, souvent situé au nord du Mexique actuel ou dans le sud-ouest des États-Unis."
L'empire aztèque,Autre,Tlaxcaltèques,Peuple farouche ennemi des Aztèques qui devint le principal allié militaire d'Hernán Cortés durant la conquête.
