Nom du cours,Classification,Terme,Explication
"Die Bekenntnisse, Rousseau",Konzept,Der Rousseauismus und der „edle Wilde“,"Rousseau postulierte, dass der Mensch von Natur aus gut ist und erst durch die Gesellschaft korrumpiert wird. Diese Idee, die im Gegensatz zu Hobbes steht, beeinflusste die Französische Revolution und die Romantik tiefgreifend."
"Die Bekenntnisse, Rousseau",Personage,Mme de Warens,"Adlige aus Savoyen, die den jungen Rousseau im Alter von 16 Jahren aufnahm, ihn zum Katholizismus bekehrte und seine Gönnerin sowie später seine Geliebte wurde. Rousseau nennt sie in den Bekenntnissen „Maman“ und vermischt dabei kindliche Zuneigung mit einer Liebesbeziehung."
"Der Fremde, Camus",Konzept,Das Absurde bei Camus,"Ein Gefühl, das aus dem Zusammenprall zwischen dem menschlichen Verlangen nach Sinn und dem Schweigen des Universums entsteht. Camus sieht das Absurde nicht als kosmische Wahrheit, sondern als gelebte Erfahrung – die Antwort darauf ist nicht der Suizid, sondern die luzide und bewusste Revolte."
"Der Fremde, Camus",Historischer Bezug,Das koloniale Algerien als Kontext,"Der Fremde spielt im französischen Algerien der 1940er Jahre. Der Araber, den Meursault tötet, bleibt im Roman namenlos – ein zentraler Punkt der postkolonialen Kritik: Der Roman reproduziere die Unsichtbarkeit der Araber in der französischen Literatur der Kolonialzeit."
"Der Mythos des Sisyphos, Camus",Konzept,Die absurde Revolte,"Eine Haltung, die darin besteht, mit einem Höchstmaß an Bewusstsein zu leben und jede Hoffnung auf einen transzendenten Sinn abzulehnen, wodurch die Endlichkeit in Freiheit verwandelt wird."
"Der Mythos des Sisyphos, Camus",Konzept,Der philosophische „Sprung“ (Kierkegaard),"Camus kritisiert den „Sprung“, den einige Philosophen angesichts des Absurden vollziehen: den Sprung in den Glauben (Kierkegaard) oder in die revolutionäre Hoffnung (Marx). Diese Arten des „philosophischen Selbstmords“ weichen dem Absurden aus, anstatt es ehrlich zu konfrontieren."
"Auf der Suche nach der verlorenen Zeit, Proust",Konzept,Das unwillkürliche Gedächtnis,"Eine plötzlich durch eine Empfindung (Geschmack, Geruch) ausgelöste Erinnerung lässt eine gelebte Vergangenheit in ihrer emotionalen Gesamtheit wieder auferstehen, im Gegensatz zum freiwilligen Gedächtnis, das kühl und intellektuell ist. Die Madeleine ist das kanonische Beispiel dafür."
"Auf der Suche nach der verlorenen Zeit, Proust",Konzept,Die durch die Kunst wiedergefundene Zeit,"Im letzten Band begreift der Erzähler, dass nur die Kunst die erlebten Momente der Zerstörung durch die Zeit entreißen kann. Die Literatur kann die Vergangenheit wiedergeben - dies ist die Rechtfertigung der gesamten Recherche und ihre schlussendliche Offenbarung."
"Vater Goriot, Balzac",Konzept,Balzacs Die menschliche Komödie,"Projekt von 90 miteinander verbundenen Romanen und Erzählungen, die die gesamte französische Gesellschaft beschreiben. Die Personen kehren von einem Roman zum anderen zurück - eine damals völlig neue Innovation. Rastignac tritt in etwa zwanzig Werken des Zyklus auf."
"Vater Goriot, Balzac",Personage,Vautrin (Jacques Collin),"Entflohener Sträfling und Genie des Verbrechens, er ist der zynische Mentor von Rastignac. Als wiederkehrende Person der Menschlichen Komödie verkörpert er die Gesellschaft außerhalb des Gesetzes - mächtig, hellsichtig und ohne Illusionen über die respektable Welt."
"Die Blumen des Bösen, Baudelaire",Konzept,Der Symbolismus und das Erbe Baudelaires,"Baudelaire ist der Vater des Symbolismus: Er suchte nicht das Reale zu beschreiben, sondern geheime Entsprechungen zwischen Empfindungen, Emotionen und Ideen anzudeuten. Verlaine, Rimbaud und Mallarmé, sowie das gesamte Poetik des 20. Jahrhunderts, berufen sich darauf."
"Die Blumen des Bösen, Baudelaire",Konzept,Der baudelairesche «Spleen»,"Kosmische Langeweile, Gefühl der Nichtigkeit der Welt, Unfähigkeit, Sinn oder Freude zu finden - angesichts eines unerreichbaren Ideals. Spleen und Ideal sind die beiden entgegengesetzten Pole, zwischen denen die gesamte Poesie der Blumen des Bösen schwankt."
"1984, George Orwell",Konzept,Neusprech (Newspeak),"Amtssprache von Ozeanien, deren Ziel es ist, dissidentes Denken unmöglich zu machen, indem Wörter eliminiert werden, die es erlauben würden, dieses zu formulieren. Je mehr sich der Wortschatz verkleinert, desto undenkbarer werden komplexe Ideen."
"1984, George Orwell",Historischer Bezug,Der sowjetische Totalitarismus als Modell,"Orwell hatte den Stalinismus in Spanien während des Bürgerkriegs beobachtet und den Blitz in London erlebt. 1984 ist vom Stalinismus inspiriert, verkörpert aber einen universellen Totalitarismus: den Anspruch, nicht nur die Körper, sondern die Realität selbst zu kontrollieren («2+2=5»)."
"Farm der Tiere, George Orwell",Konzept,Die Allegorie der Russischen Revolution,"Old Major = Marx/Lenin, Napoleon = Stalin, Schneeball = Trotzki, Quieker = die Propaganda. Die schrittweise geänderten Gebote illustrieren den Verrat an den revolutionären Idealen durch die herrschende Bürokratie."
"Farm der Tiere, George Orwell",Konzept,Der Stalinismus,"Sowjetregime unter Stalin (1924-1953): Personenkult, politischer Terror (Gulag, große Säuberungen), Planwirtschaft, Zwangskollektivierung. Die Farm wurde 1943-1944 geschrieben, als die UdSSR die Verbündete Großbritanniens war."
"Hamlet, Shakespeare",Konzept,Die Rache und die elisabethanische Ehre,Die Rache ist ein zentrales Thema des elisabethanischen Theater. Ein ehrenhafter Mann musste die Beleidigung seiner Familie rächen – doch diese Pflicht stand im Konflikt mit dem Gesetz und der christlichen Moral. Dieses Paradoxon nährt Hamlets grundlegendes Zögern.
"Hamlet, Shakespeare",Konzept,Die Melancholie im 16. Jahrhundert,"Zu Zeiten von Shakespeare war die Melancholie ein medizinischer «Saft» (schwarze Galle), der mit geistreichen Menschen, Kreativität und Untätigkeit in Verbindung gebracht wurde. Das Zögern von Hamlet entspricht dieser medizinischen Diagnose der Epoche, die seine Unfähigkeit zu handeln erklärt."
"Romeo und Julia, Shakespeare",Konzept,Die mittelalterliche höfische Liebe,"Literarische Tradition, die die heimliche und leidende Liebe eines Ritters zu einer Dame (oft verheiratet) verherrlicht. Romeo beginnt das Stück in dieser stereotypen Rolle (verliebt in Rosalinde), bevor seine Liebe zu Julia real und tragisch wird."
"Romeo und Julia, Shakespeare",Historischer Bezug,Die italienische Quelle der Erzählung,"Romeo und Julia basiert auf einer Novelle von Matteo Bandello (1554), die ihrerseits von früheren Erzählungen inspiriert war. Shakespeare passte sie an, indem er die Zeitspanne verkürzte (von Monaten auf wenige Tage), um die Schicksalhaftigkeit der Tragödie zu intensivieren."
"Schöne neue Welt, Aldous Huxley",Konzept,Der Fordismus und der Taylorismus,"Methoden der industriellen Organisation, die die Produktion durch extreme Arbeitsteilung und das Fließband rationalisierten. Huxley wendet sie auf die menschliche Fortpflanzung und Konditionierung an – Ford ist die Gottheit des Romans."
"Schöne neue Welt, Aldous Huxley",Konzept,Das Soma,"Fiktive Droge aus dem Roman, die Glück und Vergessen ohne Nebenwirkungen bringt. Sie symbolisiert alle Formen chemischer oder technologischer Abhängigkeit, die es dem Einzelnen ermöglichen, eine sinnlose Existenz zu ertragen - eine Vorwegnahme der sozialen Netzwerke."
"Frankenstein, Mary Shelley",Konzept,Die Verantwortung des Schöpfers (der moderne Prometheus),"Untertitel des Romans: «Der moderne Prometheus». Victor Frankenstein erschafft etwas Außergewöhnliches, ohne die Konsequenzen zu akzeptieren. Das wahre Monster ist vielleicht nicht die Kreatur, sondern ihr Schöpfer, der sie unmittelbar nach der Geburt im Stich lässt."
"Frankenstein, Mary Shelley",Zugehöriges Ereignis,Das «Jahr ohne Sommer» (1816),"Der Ausbruch des Tambora im Jahr 1815 schleuderte Asche in die Atmosphäre und verdunkelte sie weltweit, was 1816 zu einem eiskalten Sommer in Europa führte. In diesem apokalyptischen Kontext schrieb Mary Shelley (18 Jahre alt) Frankenstein während eines Aufenthalts am Genfer See."
"Schuld und Sühne, Dostojewski",Konzept,Der russische Nihilismus der 1860er Jahre,"Intellektuelle Bewegung, die jede moralische und religiöse Autorität im Namen der Vernunft und der Wissenschaft ablehnt. Reale Nihilisten ermordeten 1881 den Zaren Alexander II. Raskolnikow verkörpert eine tragische und individualisierte Version dieser Ideologie."
"Schuld und Sühne, Dostojewski",Konzept,Die Erlösung durch das Leiden,"Zentrales Thema bei Dostojewski: Es sind das akzeptierte Leid und die freiwillige Demütigung, die die Seele reinigen. Raskolnikow wird nicht durch die Vernunft geheilt, sondern durch das demütigende Geständnis und die Liebe zu Sonja, einer Figur des christlichen Opfers."
"Der Process, Kafka",Konzept,Das Kafkaeske,"Ein Adjektiv, das in alle Sprachen eingegangen ist, um eine absurde bürokratische Situation zu beschreiben, in der ein Individuum von einem unpersönlichen und unverständlichen System ohne Regressmöglichkeit erdrückt wird. Es geht oft der Kenntnis des Romans selbst voraus."
"Der Process, Kafka",Konzept,Die existenzielle Schuld,"Josef K. ist vielleicht einfach deshalb schuldig, weil er in einer Welt existiert, deren Regeln unverständlich sind. Diese existenzielle Lesart von Kafka beeinflusste Sartre und Camus in ihren eigenen Erkundungen der conditio humana."
"Don Quijote, Cervantes",Konzept,Die Metafiktion und die narrative Reflexivität,"Don Quijote ist einer der ersten Romane, die sich selbst kommentieren: Im zweiten Teil (1615) haben die Personen den ersten Teil (1605) gelesen und diskutieren darüber. Dieses Spiel mit der Realität des Romans nimmt den literarischen Postmodernismus um mehrere Jahrhunderte vorweg."
"Don Quijote, Cervantes",Zugehöriges Ereignis,Die Seeschlacht von Lepanto (1571) und die Gefangenschaft von Cervantes,"Cervantes kämpfte bei Lepanto und wurde verwundet (er verlor den Gebrauch seiner linken Hand). 1575 von Piraten gefangen genommen, war er fünf Jahre lang Sklave in Algier. Diese Erfahrungen prägten den Schriftsteller und nähren den Humor sowie die Tiefe des Romans."
"Früchte des Zorns, Steinbeck",Zugehöriges Ereignis,Der [Dust Bowl] (1930-1936),"Landwirtschaftliche Katastrophe in den Great Plains, verursacht durch Dürre und zerstörerische Anbaumethoden. Staubstürme verdunkelten den Himmel bis nach New York und zwangen Hunderttausende Familien (die „Okies“) zum Exodus nach Kalifornien."
"Früchte des Zorns, Steinbeck",Konzept,Die amerikanische Arbeiterbewegung der 1930er Jahre,"Die Weltwirtschaftskrise radikalisierte die amerikanischen Arbeiter: Aufstieg des CIO, massive Streiks, Sozialismus. Steinbecks Roman steht in diesem Kontext des sozialen Kampfes, der Roosevelts New Deal beeinflusste."
"Wer die Nachtigall stört, Harper Lee",Konzept,Die Jim-Crow-Gesetze und der segregationistische Süden,"Die Jim-Crow-Gesetze (1877-1965) organisierten die Segregation im Süden. Ein schwarzer Mann, der von einer weißen Frau beschuldigt wurde, war durch die ausschließlich weißen Geschworenen praktisch im Voraus verurteilt – eine zentrale Realität der Justiz im Roman."
"Wer die Nachtigall stört, Harper Lee",Personage,Atticus Finch,"Fiktiver Anwalt, der zum Archetyp amerikanischer moralischer Integrität wurde. Seine Verteidigung von Tom Robinson, von dessen Unschuld er weiß, den er aber nicht retten kann, illustriert die Tragödie einer Gesellschaft, in der Gesetz und Gerechtigkeit nicht übereinstimmen."
"Der große Gatsby, Fitzgerald",Konzept,Der amerikanische Traum und seine Korruption,"Der Roman ist die berühmteste Kritik am amerikanischen Traum: die Vorstellung, dass man allein durch Verdienst aufsteigen kann. Gatsby hat Erfolg, stellt aber fest, dass soziale Klasse und Vergangenheit unüberwindbar sind – der alte Adel verachtet die Neureichen."
"Der große Gatsby, Fitzgerald",Historischer Bezug,Die Prohibition (1920-1933),"Verfassungsmäßiges Verbot der Herstellung und des Verkaufs von Alkohol. Sie brachte das organisierte Verbrechen hervor und ermöglichte es Männern wie Gatsby, durch Schmuggel schnell zu Reichtum zu gelangen – die glänzende Fassade einer moralisch korrupten Epoche."
"Der Herr der Ringe, Tolkien",Konzept,Die tolkien'sche Subkreation,Tolkien entwickelte das Konzept der „Subkreation“: Der Schriftsteller erschafft eine sekundäre Welt mit ihren eigenen Gesetzen und ihrer eigenen inneren Kohärenz. Der Leser betritt diese durch den „sekundären Glauben“ – das bewusste Aufheben der Ungläubigkeit. Tolkien sah darin einen quasi-göttlichen Akt.
"Der Herr der Ringe, Tolkien",Historischer Bezug,Die nordischen und angelsächsischen Mythologien,"Tolkien, Professor für Altenglisch in Oxford, ließ sich tiefgreifend von Beowulf, der nordischen Edda und dem finnischen Kalevala inspirieren. Sein erklärtes Ziel: eine Mythologie für England zu erschaffen, das keine eigene besaß wie Griechenland oder Skandinavien."
"Fahrenheit 451, Bradbury",Konzept,Der McCarthyismus (1950-1954),"Periode der antikommunistischen Hexenjagd. Künstler und Schriftsteller wurden auf schwarze Listen gesetzt. Bradbury sorgte sich um die Zensur durch Angst, um den sozialen und politischen Druck auf das Denken – weit mehr als um die Zensur durch die Bücher selbst."
"Fahrenheit 451, Bradbury",Konzept,Die Unterhaltungsgesellschaft und die fragmentierte Aufmerksamkeit,"Bradbury nahm die Selbstzensur durch Unterhaltung vorweg: Menschen, die so gesättigt von schnellen Medien sind, dass sie keine Lust mehr haben zu lesen. Die „Parlors“ (Wandbildschirme) des Romans nehmen das Fernsehen und später die Smartphones vorweg."
"Hundert Jahre Einsamkeit, García Márquez",Konzept,Der Magische Realismus,"Literarischer Stil, der magische Ereignisse mit der gleichen Natürlichkeit wie reale Ereignisse darstellt, ohne Überraschung oder Erklärung. Hervorgegangen aus einer lateinamerikanischen Tradition, in der das Wunderbare Teil des täglichen Lebens ist."
"Hundert Jahre Einsamkeit, García Márquez",Historischer Bezug,Die United Fruit Company und die „Bananenrepubliken“,"Die Bananengesellschaft im Roman bezieht sich auf die US-amerikanische United Fruit Company, die mehrere Länder Zentralamerikas wirtschaftlich dominierte. Ein von ihr verursachtes Massaker an streikenden Arbeitern inspiriert eine Schlüsselszene des Romans."
Die italienische Renaissance,Konzept,Der Humanismus der Renaissance,"Intellektuelle Bewegung, die das Denken auf das Menschsein konzentriert und sich von den wiederentdeckten griechischen und römischen Texten inspirieren lässt. Die Humanisten (Petrarca, Erasmus) schätzten die liberale Bildung, die Menschenwürde und die Entwicklung der individuellen Fähigkeiten."
Die italienische Renaissance,Konzept,Die Linearperspektive in der Malerei,"Technik, die um 1415 von Brunelleschi entwickelt wurde: Parallele Linien konvergieren in einem Fluchtpunkt und erzeugen so eine Illusion von Tiefe auf einer flachen Oberfläche. Diese Revolution des Blicks unterscheidet die Malerei der Renaissance radikal von der mittelalterlichen Kunst."
Die Geburt des Impressionismus,Konzept,Der offizielle Pariser Salon,"Jährliche Ausstellung der Académie des beaux-arts, das einzige Schaufenster für Kunst in Frankreich im 19. Jahrhundert. Abgelehnt zu werden bedeutete kommerzielle Unsichtbarkeit."
Die Geburt des Impressionismus,Konzept,Farbtuben und die Freilichtmalerei,"Die Erfindung der metallischen Farbtuben (1841) ermöglichte es den Malern, im Freien zu arbeiten. Ohne die Tuben oxidierte die Farbe schnell. Diese banale technische Innovation war eine materielle Voraussetzung für die revolutionäre Entwicklung im Impressionismus."
Caravaggio und das Chiaroscuro,Konzept,Der Barock in der Malerei,"Künstlerischer Stil des 17. Jahrhunderts, der durch Bewegung, dramatische Kontraste, Theaterhaftigkeit und eine starke emotionale Aufladung gekennzeichnet ist, um den Betrachter zu beeindrucken."
Caravaggio und das Chiaroscuro,Personage,Artemisia Gentileschi,"Bedeutende italienische Malerin (1593-1656), Anhängerin des Caravaggismus, berühmt für ihre Szenen weiblicher Stärke und Rache von packendem Realismus."
Rembrandt und die flämische Schule,Konzept,Das Goldene Zeitalter der Niederlande,"Im 17. Jahrhundert wurden die Vereinigten Provinzen zur weltweit führenden Handelsmacht. Dieser Wohlstand schuf eine wohlhabende protestantische Mittelschicht, die Porträts, Genreszenen und Landschaften verlangte – ein Markt, der es Rembrandt und Vermeer ermöglichte zu existieren."
Rembrandt und die flämische Schule,Konzept,Der Bankrott Rembrandts (1656),"Rembrandt ging auf dem Höhepunkt seines Ruhms bankrott, nachdem er Unmengen für Kunstsammlungen ausgegeben hatte. Sein Besitz wurde versteigert. Dieser Ruin zwang ihn, unter dem Namen seiner Frau Hendrickje und seines Sohnes Titus zu malen."
Der Kubismus: Picasso und Braque,Konzept,Afrikanische und ozeanische Kunst als Einfluss,"Picassos Entdeckung afrikanischer Masken um 1906-1907 war eine Offenbarung: eine Kunst, die nicht versuchte, die Realität zu imitieren, sondern eine symbolische und strukturelle Darstellung von ihr zu geben. Entscheidend für die Demoiselles d'Avignon."
Der Kubismus: Picasso und Braque,Konzept,Die Collage (Papiers collés),Innovation des synthetischen Kubismus (1912): Braque und Picasso klebten Zeitungsausschnitte und Tapetenstücke in ihre Bilder. Durch die Integration von Fragmenten der Realität in das Werk vermischten sie die Grenze zwischen Darstellung und Realität.
Der Surrealismus: Dalí und Magritte,Konzept,Die Freudsche Psychoanalyse als Quelle,"Der Surrealismus ließ sich direkt von Freud inspirieren: das Unbewusste als Reservoir verdrängter Bilder, der Traum als Königsweg zum Unbewussten, die freie Assoziation. André Breton war Freud 1921 begegnet und wollte das Unbewusste in der Kunst befreien."
Der Surrealismus: Dalí und Magritte,Konzept,Das Automatische Schreiben,"Technik der Surrealisten: Schreiben oder Malen ohne bewusste Kontrolle, wobei der Fluss des Unbewussten sich direkt ausdrücken kann. Breton nutzte es als poätisches Werkzeug. Dalí entwickelte mit der paranoisch-kritische Methode seine eigene malerische Variante."
Der Expressionismus: Munch und Der Schrei,Konzept,"Der deutsche Expressionismus (Die Brücke, Der Blaue Reiter)","Deutsche Kunstströmungen (1905-1920), die den Expressionismus auf die Spitze trieben: radikale Deformation der Formen, grelle Farben, beängstigende Themen. Kirchner, Kandinsky, Nolde reagierten auf die Modernisierung und kündigten das Trauma von 1914 an."
Der Expressionismus: Munch und Der Schrei,Zugehöriges Ereignis,Der Ausbruch des Krakatau (1883) und der rote Himmel,"Der katastrophale Ausbruch des Krakatau schleuderte Asche in die Luft, die weltweit monatelang die Sonnenuntergänge blutrot färbte. Munch notierte in seinem Tagebuch, er habe einen roten Himmel „aus Blut und Feuer“ gesehen – vermutlich dieses Phänomen."
Die abstrakte Kunst: Kandinsky und Mondrian,Konzept,Das Bauhaus und die Synthese von Kunst und Industrie,"1919 in Weimar gegründete Kunst- und Designschule, die versuchte, die bildende Kunst und das Kunsthandwerk miteinander zu versöhnen. Kandinsky und Klee lehrten dort. Ihre minimalistische und funktionale Ästhetik ist im zeitgenössischen Design allgegenwärtig."
Die abstrakte Kunst: Kandinsky und Mondrian,Konzept,Der Neoplastizismus von Mondrian (De Stijl),"Niederländische Bewegung, gegründet 1917: Reduzierung der Kunst auf die reinsten Elemente - horizontale und vertikale Linien, Primärfarben, Weiß und Schwarz. Mondrian suchte nach einer universellen visuellen Sprache jenseits jeder spezifischen Kultur."
Die Pop Art: Warhol und Lichtenstein,Konzept,Die amerikanische Konsumgesellschaft der 1950er-60er Jahre,"Nach dem Krieg produzierte die amerikanische Wirtschaft einen nie dagewesenen Überfluss. Werbung und Massenmedien schufen eine Kultur standardisierter Bilder, die die Pop Art als künstlerisches Material nutzte und so die Grenze zwischen Kunst und Produkt hinterfragte."
Die Pop Art: Warhol und Lichtenstein,Konzept,Die Aura und die mechanisierte Reproduktion (Walter Benjamin),"Benjamin (1935) analysierte, wie die technische Reproduktion die „Aura“ des einzigartigen Werks zerstört. Warhol radikalisierte diese Idee: Durch die mechanische Reproduktion populärer Bilder hinterfragte er den Begriff des Originals und des Autors selbst."
Die Geburt der elektronischen Musik,Konzept,Das Theremin,"Erstes elektronisches Instrument (1920), das ohne physischen Kontakt gespielt wird: Zwei Antennen erfassen die Position der Hände und steuern Tonhöhe sowie Lautstärke. Sein ätherischer Klang wurde in Horrorfilmen der 1950er Jahre und von den Beach Boys verwendet."
Die Geburt der elektronischen Musik,Konzept,Chicago House und Detroit Techno,Chicago House (1984) verwendete Drumcomputer und tiefe Bässe. Detroit Techno (1986-1988) war kühler und mechanischer. Beide gingen aus marginalisierten schwarzen und Latino-Gemeinschaften hervor und wurden zu weltweiten Phänomenen.
Bob Dylan und der Protest-Folk,Konzept,Das Americana Folk-Revival (Woody Guthrie),Wiederentdeckung traditioneller amerikanischer Musik durch urbane Künstler in den 1950er-60er Jahren. Pete Seeger und Woody Guthrie machten den Folk zum Soundtrack der Arbeiter- und Bürgerrechtsbewegung. Dylan war deren Wundererbe.
Bob Dylan und der Protest-Folk,Konzept,Musik als politisches Instrument,"In der Tradition von Guthrie nutzte der Protest-Folk zugängliche Melodien, um politische Botschaften zu verbreiten. Dylans „Blowin' in the Wind“ und „The Times They Are A-Changin'“ wurden zu Hymnen der Bürgerrechtsbewegung."
Hip-Hop: Geburt einer Kultur,Konzept,Die Autobahnpolitik von Robert Moses,"New Yorker Stadtplaner, der Stadtautobahnen baute, die in den 1950er und 60er Jahren die Arbeiterviertel der Bronx verwüsteten. Die Cross-Bronx Expressway zerstörte 60.000 Wohnungen und schuf die Bedingungen der Verahrlosung, in denen der Hip-Hop entstand."
Hip-Hop: Geburt einer Kultur,Konzept,Musikalisches Sampling,"Technik, die darin besteht, Ausschnitte aus bestehenden Aufnahmen als Basis für ein neues Werk zu verwenden. Rechtlich problematisch, wurde das Sampling nach langen juristischen Auseinandersetzungen als legitime Form des künstlerischen Schaffens anerkannt."
Verdis Oper,Konzept,Das italienische Risorgimento,"Bewegung der nationalen Wiedervereinigung Italiens (ca. 1815-1871). Verdis Opern – insbesondere „Va, pensiero“ aus Nabucco – wurden zu nationalistischen Hymnen. Verdi selbst war ein Symbol: Sein Name wurde als Akronym für Vittorio Emanuele Re D'Italia verwendet."
Verdis Oper,Konzept,Opera seria vs. Opera buffa,"Zwei italienische Genres: die Opera seria (edle Sujets, tragisch) und die Opera buffa (komische Sujets, gewöhnliche Personen). Verdi brillierte in der Opera seria, erneuerte die Genres jedoch durch die Integration realistischer psychologischer Dramen und sozialer Spannungen."
Mozart: Wunderkind und tragisches Leben,Konzept,Die Situation des Musikers im 18. Jahrhundert,"Sozialer Status, bei dem der Musiker als Bediensteter eines Adligen oder Prälaten betrachtet wird und nach den Wünschen seines Patrons komponieren und spielen muss."
Mozart: Wunderkind und tragisches Leben,Historischer Bezug,Die Freimaurerei und Die Zauberflöte,"Die Zauberflöte (1791) ist eine freimaurerische Allegorie: Taminos Einweihungsprüfungen und der Kampf zwischen Licht und Dunkelheit spiegeln die freimaurerischen Rituale und Ideale der Aufklärung wider, denen Mozart seit 1784 angehörte."
Beethoven: Genie und Taubheit,Konzept,„Absolute“ Musik vs. Programmmusik,"Die absolute Musik (Beethoven) drückt reine Emotionen ohne äußeren Bezug aus. Die Programmmusik (Berlioz, Liszt) erzählt eine Geschichte. Diese Unterscheidung strukturiert die große ästhetische Debatte des romantischen 19. Jahrhunderts."
Beethoven: Genie und Taubheit,Konzept,Die Ode an die Freude und die Europahymne,"Der letzte Bewegung der 9. Symphonie, basierend auf Schillers Gedicht, wurde 1985 zur offiziellen Hymne der Europäischen Union. Der Universalismus seiner Botschaft (Brüderlichkeit der Menschheit) macht sie zum Symbol des europäischen Ideals der Einheit."
Die Geburtsstunde des Rock 'n' Roll,Konzept,Segregation in der US-amerikanischen Musikindustrie,"Die US-amerikanischen Radiosender der 1940er und 1950er Jahre weigerten sich, „Race Music“ (Blues, R&B) auf „weißen“ Sendern zu spielen. **Die Geburtsstunde des Rock 'n' Roll** schlug zu einem großen Teil, als weiße Künstler schwarze Stile übernahmen, was Fragen zur kulturellen Aneignung aufwarf."
Die Geburtsstunde des Rock 'n' Roll,Konzept,Der Rhythm and Blues (R&B),"Genre der 1940er Jahre, das elektrifizierten Blues, Jazz und **Gospel** kombiniert und von schwarzen Künstlern geschaffen wurde. Der **Rhythm and Blues** war die direkte Basis für den Rock 'n' Roll: Elvis und Chuck Berry ließen sich direkt davon inspirieren."
Bach und die Barockmusik,Konzept,Kontrapunkt und Fuge,"Der **Kontrapunkt** ist die Kunst, mehrere unabhängige Melodien nach harmonischen Regeln zu kombinieren. Die Fuge ist seine kunstvollste Form: Ein Thema wird nacheinander von verschiedenen Stimmen vorgetragen und dann in immer komplexeren Kombinationen entwickelt."
Bach und die Barockmusik,Konzept,Die gleichstufige Stimmung,"Bachs „Wohltemperiertes Klavier“ (48 Präludien und Fugen in allen Tonarten) bewies, dass eine gleichmäßige Stimmung es ermöglichte, in allen Tonarten ohne Verstimmung zu spielen. Dieses System ist dasjenige aller modernen Instrumente."
Die Geburtsstunde des amerikanischen Jazz,Konzept,Congo Square in New Orleans,"Platz, an dem das **Gesetz** von Louisiana es Sklaven erlaubte, sich sonntags zu versammeln, um zu spielen und zu tanzen. Dieser in Nordamerika einzigartige **Ort** ermöglichte die Bewahrung afrikanischer Musiktraditionen, die in Kombination mit europäischer Harmonie zur Geburtsstunde des Jazz führten."
Die Geburtsstunde des amerikanischen Jazz,Konzept,Die Improvisation im Jazz,Im Gegensatz zur klassischen Musik macht der Jazz **Die Improvisation im Jazz** zu seinem Kern: Der Musiker erfindet seine Melodielinie in Echtzeit auf einem vereinbarten harmonischen Gerüst als Antwort auf die anderen. Es ist zugleich totale Freiheit und eine anspruchsvolle Disziplin.
Der Blues: Wurzeln aller modernen Musik,Konzept,Das 12-Takt-Schema,"Grundlegende harmonische Architektur des Blues: eine Sequenz von **12 Takte**n in drei Teilen (Tonika, Subdominante, Dominante), die sich wiederholt. Diese unendlich variable Struktur ist das Raster, auf dem der Blues improvisiert wird und das man im Rock, Jazz und Pop wiederfindet."
Der Blues: Wurzeln aller modernen Musik,Konzept,Die Blue Notes,"„Gebogene“ Töne zwischen zwei Noten der Standard-Tonleiter, die leicht unter ihrer üblichen Tonhöhe gespielt werden. Diese mikrotonalen Beugungen stammen aus der afrikanischen Vokaltradition und verleihen dem Blues seinen besonderen expressiven und ergreifenden Charakter."
Die Geburt der Fotografie,Konzept,Die Kalotypie von William Fox Talbot,"Fotografisches Verfahren auf Papier (um 1840), das es ermöglichte, mehrere Abzüge von einem Negativ zu erstellen – im Gegensatz zur einzigartigen Daguerreotypie. Es ist der direkte Vorläufer der analogen Fotografie, die bis zum digitalen Zeitalter verwendet wurde."
Die Geburt der Fotografie,Konzept,Der Einfluss der Fotografie auf die figurative Malerei,Die Fotografie befreite die Malerei von ihrer dokumentarischen Funktion. Maler mussten Gesichter oder Schlachten nicht mehr für die Ewigkeit festhalten – das Foto erledigte dies besser und kostengünstiger. Diese Befreiung war eine der Voraussetzungen für den Impressionismus und später die Abstraktion.
Charlie Chaplin und der Stummfilm,Historischer Bezug,Die Brüder Lumière und das frühe Kino,"Das Kino wurde in Frankreich geboren (Lumière, 1895), wurde aber in den Vereinigten Staaten industrialisiert. Hollywood setzte sich in den 1910er-1920er Jahren dank der kalifornischen Sonne, der Vielfalt der Landschaften und der massiven Einwanderung europäischer Talente durch."
Charlie Chaplin und der Stummfilm,Konzept,Der Slapstick,"Komisches Genre des Stummfilms, das auf physischen Gags, Stürzen, Verfolgungsjagden und grotesker Gewalt basiert. Der Begriff stammt von einer Requisite aus dem Theater. Charlot [Der Tramp] führte dieses Genre zur Perfektion, indem er ihm emotionale Tiefe und Sozialkritik hinzufügte."
Orson Welles und Citizen Kane,Konzept,Die Schärfentiefe (Deep Focus),"Filmtechnik, bei der alle Ebenen des Bildes (Vorder-, Mittel- und Hintergrund) gleichzeitig scharf sind, was komplexe Handlungen in einer einzigen Einstellung ermöglicht."
Orson Welles und Citizen Kane,Personage,William Randolph Hearst,"Amerikanischer Pressemagnat des frühen 20. Jahrhunderts, dessen Leben als Vorbild für die Figur des Charles Foster Kane diente."
Nouvelle Vague,Konzept,Die Auteur-Theorie,"Theorie von Truffaut in den Cahiers du Cinéma (1954): Der wahre Autor eines Films ist der Regisseur, der seine persönliche Vision zum Ausdruck bringt. Sie wertete Hollywood-Filmemacher wie Hitchcock oder Hawks auf, die von der akademischen französischen Kritik verachtet wurden."
